,DateHome,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin
246,2012-01-23,Minnesota Timberwolves,Houston Rockets,194.5,3,-140,120,199,-15
247,2012-01-23,New Orleans Pelicans,San Antonio Spurs,177,5,165,-190,206,-2
248,2012-01-23,Dallas Mavericks,Phoenix Suns,181,6.5,-210,175,180,6
249,2012-01-23,Portland Trail Blazers,Sacramento Kings,192,10.5,-725,525,190,12
250,2012-01-23,Golden State Warriors,Memphis Grizzlies,195,1,-135,115,181,-1
251,2012-01-24,Charlotte Bobcats,New York Knicks,191,4,195,-235,189,-33
252,2012-01-24,Indiana Pacers,Orlando Magic,183,2.5,-160,140,185,-19
253,2012-01-24,Miami Heat,Cleveland Cavaliers,201,12,-1650,1050,177,7
254,2012-01-24,Phoenix Suns,Toronto Raptors,186,5.5,-240,190,195,-3
255,2012-01-24,Portland Trail Blazers,Memphis Grizzlies,189,6,-275,225,181,13
256,2012-01-25,Washington Wizards,Charlotte Bobcats,191,5,-340,280,167,17
257,2012-01-25,Cleveland Cavaliers,New York Knicks,197.5,1,150,-170,172,10
258,2012-01-25,Philadelphia 76ers,New Jersey Nets,194,10.5,-825,625,187,-7
259,2012-01-25,Detroit Pistons,Miami Heat,187,8.5,350,-450,199,-3
260,2012-01-25,Chicago Bulls,Indiana Pacers,184,8,-400,325,185,-5
261,2012-01-25,Oklahoma City Thunder,New Orleans Pelicans,183,13,-1200,750,192,10
262,2012-01-25,Houston Rockets,Milwaukee Bucks,190,5,-200,170,204,-6
263,2012-01-25,San Antonio Spurs,Atlanta Hawks,188,4,-190,165,188,22
264,2012-01-25,Dallas Mavericks,Minnesota Timberwolves,183.5,6,-260,220,195,-15
265,2012-01-25,Utah Jazz,Toronto Raptors,186,11,-650,500,217,-5
266,2012-01-25,Sacramento Kings,Denver Nuggets,207.5,6.5,240,-280,215,-29
267,2012-01-25,Golden State Warriors,Portland Trail Blazers,192.5,3,-170,150,194,8
268,2012-01-25,Los Angeles Lakers,Los Angeles Clippers,186,4,-175,155,187,5
269,2012-01-26,Orlando Magic,Boston Celtics,176,8,-600,450,174,-8
270,2012-01-26,Los Angeles Clippers,Memphis Grizzlies,191.5,3.5,-175,155,189,7
271,2012-01-27,Philadelphia 76ers,Charlotte Bobcats,185.5,14.5,-3295,1495,161,17
272,2012-01-27,Cleveland Cavaliers,New Jersey Nets,192,3,-175,155,195,-3
273,2012-01-27,Boston Celtics,Indiana Pacers,176,1,150,-170,181,7
274,2012-01-27,Detroit Pistons,Atlanta Hawks,180.5,5.5,205,-255,208,-6
275,2012-01-27,Chicago Bulls,Milwaukee Bucks,182.5,10.5,-770,520,207,7
276,2012-01-27,New Orleans Pelicans,Orlando Magic,177,4.5,135,-155,160,26
277,2012-01-27,Houston Rockets,Washington Wizards,197.5,10,-475,375,179,27
278,2012-01-27,Miami Heat,New York Knicks,199,10,-1045,645,188,10
279,2012-01-27,Minnesota Timberwolves,San Antonio Spurs,194.5,0,-105,-115,166,8
280,2012-01-27,Dallas Mavericks,Utah Jazz,184,4.5,-185,160,217,15
281,2012-01-27,Denver Nuggets,Toronto Raptors,197,12,-1335,885,177,15
282,2012-01-27,Portland Trail Blazers,Phoenix Suns,191.5,9,-485,385,180,38
283,2012-01-27,Golden State Warriors,Oklahoma City Thunder,198,5.5,175,-200,229,-11
284,2012-01-28,Charlotte Bobcats,Washington Wizards,186,1,105,-125,201,-3
285,2012-01-28,Philadelphia 76ers,Detroit Pistons,178.5,14.5,-1300,850,169,21
286,2012-01-28,Houston Rockets,New York Knicks,193,6.5,-280,240,181,13
287,2012-01-28,Milwaukee Bucks,Los Angeles Lakers,182,5,170,-200,189,11
288,2012-01-28,Phoenix Suns,Memphis Grizzlies,191.5,2.5,155,-175,170,2
289,2012-01-28,Utah Jazz,Sacramento Kings,195.5,9.5,-500,400,189,3
290,2012-01-29,Miami Heat,Chicago Bulls,193.5,5,-185,165,190,4
291,2012-01-29,New Jersey Nets,Toronto Raptors,184,5.5,-220,180,167,-21
292,2012-01-29,Boston Celtics,Cleveland Cavaliers,182,7.5,-320,260,175,-1
293,2012-01-29,Orlando Magic,Indiana Pacers,179,3.5,-160,140,191,-21
294,2012-01-29,Dallas Mavericks,San Antonio Spurs,187,5,-260,220,201,1
295,2012-01-29,Minnesota Timberwolves,Los Angeles Lakers,183,0,-130,110,207,-5
296,2012-01-29,New Orleans Pelicans,Atlanta Hawks,175,3.5,115,-135,166,-22
297,2012-01-29,Denver Nuggets,Los Angeles Clippers,204,5.5,-240,200,214,-4
298,2012-01-30,Washington Wizards,Chicago Bulls,190.5,9,375,-475,186,-10
